# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	720
#@/user_id	3f58877e-a7cc-40cc-b9f8-dce6e53b0ed7
a 	啊	c=4 d=3.03386 t=720
dui wai kai fang 	對外開放	c=1 d=0.540641 t=720
duo la 	哆啦	c=0 d=0.0970446 t=720
e 	額	c=1 d=0.873716 t=720
en 	恩	c=0 d=0.0937067 t=720
er 	而	c=1 d=0.272532 t=720
er ji 	耳機	c=1 d=0.509156 t=720
fa 	法	c=1 d=0.280832 t=720
fa 	發	c=0 d=0.257833 t=720
fa bu 	發佈	c=3 d=0.326607 t=720
fa da 	發達	c=8 d=7.63306 t=720
fa da fa 	發達發	c=1 d=0.985112 t=720
fa da fa da 	發達發達	c=8 d=5.01239 t=720
fa da fa da fa da 	發達發達發達	c=1 d=0.852144 t=720
fa da fa da fa da fa da fa da fa da 	發達發達發達發達發達發達	c=1 d=0.856415 t=720
fa da fa da la fang jing dian la kai fang jing dian 	發達發達啦防靜電拉開防靜電	c=1 d=0.980199 t=720
fa da fa da le 	發達發達了	c=1 d=0.891366 t=720
fa da fa fa da 	發達發發達	c=1 d=0.970446 t=720
fa da fa fa da fa 	發達發發達發	c=1 d=0.847894 t=720
fa da fa kan de la 	發達發坎德拉	c=1 d=0.97531 t=720
fa da jie li fan dui 	發達竭力反對	c=1 d=0.995012 t=720
fa da ka 	發達卡	c=1 d=1.04353 t=720
fa da ka la ji fen lao da 	發達卡啦積分老大	c=1 d=1 t=715
fa da ka la jiao fa da 	發達卡拉膠發達	c=1 d=0.951229 t=720
fa da la fa da 	發達啦發達	c=2 d=1.86927 t=720
fa da la fa da fang jing dian la 	發達啦發達防靜電啦	c=1 d=0.970446 t=720
fa da la fa da fang jing dian la fa da 	發達啦發達防靜電啦發達	c=1 d=0.965605 t=720
fa da la fang jing dian la 	發達啦防靜電啦	c=2 d=1.88825 t=720
fa da la fang jing dian la se 	發達啦防靜電垃圾	c=1 d=0.822835 t=720
fa da la feng 	發達拉風	c=1 d=0.941765 t=720
fa da la kai fa da 	發達拉開發達	c=1 d=0.909373 t=720
fa da lang fei 	發達浪費	c=1 d=0.995012 t=720
fa da lang fei ji da lei 	發達浪費幾大類	c=1 d=0.951229 t=720
fa da le 	發達了	c=3 d=2.91081 t=720
fa da le fa da 	發達了發達	c=4 d=3.42272 t=720
